bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB125	B	senate	2023-05-25	1333288	28	7	4	passage			Read A Third Time And Passed As Amended	To make supplemental appropriations for the fiscal year ending September 30, 2023: from the Veterans' Assistance Fund to the Department of Veterans' Affairs in 
HB131	B	house	2023-04-20	1307256	79	23	4	passage			Read a Third Time and Pass	Relating to parole; to amend Section 15-22-28, Code of Alabama 1975, to provide that a prisoner is not eligible for parole of he or she has been duly charged wi
HB208	B	house	2023-05-17	1327139	76	26	2	passage			Read a Third Time and Pass as Amended	To enact the Pregnancy Resource Act; Relating to income tax; to provide a state income tax credit to individuals and businesses that make contributions to eligi
HB209	B	house	2023-05-04	1318421	76	28	2	passage			Read a Third Time and Pass as Amended	Relating to voting; to prohibit any person from distributing, ordering, requesting, collecting, completing, obtaining, or delivering an absentee ballot applicat
HB229	B	house	2023-05-16	1325638	64	37	2	passage			Read a Third Time and Pass as Amended	Relating to sentencing; to add Section 13A-5-14 to the Code of Alabama 1975, to provide that an individual sentenced pursuant to the habitual felony offender la
HB289	B	senate	2023-06-01	1336890	21	8	4	passage			Read a Third Time and Pass	Relating to law enforcement agency recordings; to provide for circumstances and procedures to disclose or release recordings made by body-worn cameras or dashbo
HB304	B	house	2023-05-24	1332111	68	24	4	passage			Read a Third Time and Pass as Amended	Relating to alcoholic beverage sales; to amend Section 28-3A-17.2, Code of Alabama 1975; to further provide for alcoholic beverage sales by food and beverage tr
HB363	B	house	2023-05-11	1323541	76	25	4	passage			Read a Third Time and Pass as Amended	Relating to the Alabama School Choice and Student Opportunity Act; to amend Sections 16-6F-5, 16-6F-6, and 16-6F-10, Code of Alabama 1975, to change the appoint
HB363	B	senate	2023-05-31	1336287	26	8	4	passage			Read Again a Third Time and Pass as Amended	Relating to the Alabama School Choice and Student Opportunity Act; to amend Sections 16-6F-5, 16-6F-6, and 16-6F-10, Code of Alabama 1975, to change the appoint
HB379	B	house	2023-05-09	1321392	73	23	4	passage			Read a Third Time and Pass as Amended	Relating to acquisition of title to real property; to prohibit certain governments or governmental entities from acquiring certain real property in the state.
HB379	B	senate	2023-05-18	1327840	26	7	4	passage			Read A Third Time And Passed As Amended	Relating to acquisition of title to real property; to prohibit certain governments or governmental entities from acquiring certain real property in the state.
HB392	B	house	2023-05-17	1326682	64	36	2	passage			Read a Third Time and Pass	Relating to firearms; to provide prohibitions on the use, ownership, or possession of a firearm under certain conditions; and in connection therewith would have
HB436	B	house	2023-05-23	1331279	56	39	2	passage			Read a Third Time and Pass	Relating to criminal procedure; to amend Section 15-19-1, Code of Alabama 1975, to specify the age at which a person may be tried as a youthful offender.
