session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	bill_status	disposition	reason	note	title
2196	HB2159	H	264	1530777	2025-03-31	56	42	2	not-selected	administrative-machinery	Interest charged on Bureau for Medical Services overpayments. No subject a voter would recognize.	Relating to the assessment of interest on overpayments by the Bureau for Medical Services
2196	HB2551	H	345	1534398	2025-04-02	70	30	2	not-selected	narrow-subject	Criminal penalties for livestock running at large onto a neighbor property.	Increase criminal penalties for trespassing livestock
2196	HB2659	H	85	1516902	2025-03-13	73	21	2	not-selected	administrative-licensing	A special alcohol permit for a non-profit in an outdoor designated area.	Adding a special permit for a non-profit entity to be a qualified permit holder in a private outdoor designated area
2196	HB2710	H	47	1509162	2025-03-10	70	27	2	imported	batch-02	Thrift store donation disclosure. corporate_accountability, yes for.	Truth in Giving
2196	HB2719	H	87	1517068	2025-03-13	41	54	1	imported	batch-02	Direct corporate contributions to candidates. anti_corruption, yes against.	Campaign finance and reporting
2196	HB2777	H	316	1532130	2025-04-01	75	22	2	not-selected	no-defensible-direction	Governs home instruction rather than public school quality, and pairs looser proof of academic progress with a new child abuse screen and a school choice portal. No single honest direction.	Relating to removing requirements to submit certain evidence on behalf of home-schooled children
2196	HB2876	H	192	1527306	2025-03-26	24	69	1	not-selected	administrative-machinery	Size and membership of the Natural Resources Commission.	Increase the number of Natural Resources Commission members
2196	HB3017	S	403	1541880	2025-04-09	16	18	2	imported	batch-02	Inspection and audit of ballot counting machines. election_integrity, yes for.	Compliance Audits of Tabulating Equipment
2196	HB3111	H	618	1546726	2025-04-12	67	25	5	not-selected	no-stance-label	A judicial pay raise lands on the no-stance general label. Same call as South Carolina S 933. Vetoed after the session ended and never overridden.	To provide pay increases to members of the judiciary
2196	HB3154	H	320	1532556	2025-04-01	45	52	1	not-selected	narrow-subject	Advertising by limited video lottery retailers.	Relating to advertising by licensed limited video lottery retailers and licensed limited video lottery operators
2196	HB3276	H	286	1530804	2025-03-31	70	28	2	imported	batch-02	Automatic annual water and sewer rate increases. cost_of_living_reduction, yes against.	Provide mechanism for rate increases for water and sewer utilities
2196	HB3412	H	359	1534352	2025-04-02	58	42	2	imported	batch-02	Removing the Legislature from the open records law. anti_corruption, yes against.	Relating to exemptions from disclosure of certain records; and exempting the legislative branch if it adopts its own rules.
2196	HB3412	S	503	1545631	2025-04-11	25	9	2	imported	batch-02	The Senate rewrite narrowing the open records law for every public body. anti_corruption, yes against.	Relating to exemptions from disclosure of certain records; and exempting the legislative branch if it adopts its own rules.
2196	HB3422	H	336	1532864	2025-04-01	62	35	2	not-selected	school-choice-precedent	A state school choice portal. The standing rule is that school choice has no defensible direction under public_education_quality.	Relating to requiring the State Board of Education to design, test, and deploy an internet-based reporting system to be known as the School Choice Portal
2196	HB3446	H	360	1534391	2025-04-02	75	24	2	imported	batch-02	Schools helping students file the federal student aid form. public_education_quality, yes for.	Permitting public high school students submit FAFSA prior to graduation
2196	SB234	S	43	1502329	2025-02-28	22	11	2	not-selected	administrative-machinery	The value at which municipal property must go to public auction.	Increasing value at which municipal property must be sold through public auction
2196	SB460	H	162	1524865	2025-03-24	42	56	2	imported	batch-02	School vaccine exemptions, the House amended version. environment_and_public_health, yes against.	Relating to vaccine requirements
2196	SB460	S	18	1496143	2025-02-21	20	12	2	imported	batch-02	School vaccine exemptions, the Senate version. environment_and_public_health, yes against.	Relating to vaccine requirements
2196	SB488	H	505	1545454	2025-04-11	33	65	2	not-selected	reads-two-ways	The definition of electioneering. Narrowing it protects speech near a polling place and also loosens a polling place rule, so no honest direction under election_integrity.	Clarifying definition of electioneering
2196	SB505	S	192	1528704	2025-03-27	22	11	2	not-selected	reads-two-ways	The same section cuts the utility rate of return and shifts failed asset costs to shareholders while reducing the return on wind and solar. A yes vote is honestly arguable as good or bad.	Ensuring Reliable and Affordable Electricity Act
2196	SB521	S	98	1515760	2025-03-12	22	12	2	not-selected	no-defensible-direction	Party labels on judicial and school board ballots. Not a security, accuracy or auditability question, so election_integrity carries no direction.	Requiring party affiliations be listed for all candidates
2196	SB548	S	122	1519785	2025-03-18	26	8	2	imported	batch-02	Required school violence prevention training. public_safety_and_crime_control, yes for.	Creating Safety and Violence Education for Students Act
2196	SB579	S	159	1524953	2025-03-24	25	8	2	imported	batch-02	Blocking and voiding local anti-discrimination ordinances. civil_rights, yes against.	Relating to Home Rule Reform
2196	SB592	S	113	1518120	2025-03-14	25	7	2	imported	batch-02	Exemptions from the post-Elk-River storage tank law. environment_and_public_health, yes against.	Relating generally to aboveground storage tanks
2196	SB639	S	281	1534977	2025-04-02	27	7	2	not-selected	narrow-subject	A tax credit for time small business owners spend on compliance.	Creating WV Small Business Appreciation and Acknowledgement Act
2196	SB655	S	188	1527281	2025-03-26	26	8	2	not-selected	narrow-subject	Immunity for mental health providers in mental hygiene cases.	Providing limited immunity for mental health providers who are involved in mental hygiene checks
2196	SB663	S	248	1531148	2025-03-31	25	9	2	not-selected	reads-two-ways	Bank access rules. Reads as consumer protection or as forcing banks to serve customers they rejected, with no settled direction under corporate_accountability.	Creating Fair Access to Financial Services Act
2196	SB705	S	189	1527780	2025-03-26	19	15	2	not-selected	administrative-machinery	Who may propose Board of Education rules to the Legislature.	Allowing Board of Education to promulgate rules for submission to Legislature
2196	SB718	S	249	1530842	2025-03-31	22	12	2	imported	batch-02	Hospital price and contract disclosure. healthcare_affordability, yes for.	Relating to hospital transparency
2196	SB730	S	285	1534410	2025-04-02	16	18	1	imported	batch-02	Public registry of forest carbon offset deals. corporate_accountability, yes for.	Establishing Forest Carbon Registry
2196	SB748	S	231	1530728	2025-03-29	25	8	2	not-selected	reads-two-ways	A county public safety sales tax. A yes vote both funds policing and raises a local tax.	Creating Safer Communities Act
2196	SB871	S	206	1528808	2025-03-27	24	9	2	not-selected	administrative-licensing	Whether drywall work needs a contractor license.	Removing persons who perform drywall services from definition of “contractor” in Contractor Licensing Act
2196	SB875	S	269	1533330	2025-04-01	20	13	2	not-selected	administrative-licensing	Private labels on beer containers.	Relating to container labeling of nonintoxicating beer and nonintoxicating craft beer
2196	SB916	S	254	1530843	2025-03-31	13	21	1	not-selected	narrow-subject	Agritourism activities and which agency rules apply.	Recognizing authority of Agriculture Commissioner to intervene in matters that negatively affect agritourism
2196	SB933	S	291	1533981	2025-04-02	25	9	2	not-selected	narrow-subject	Income thresholds for needing a business license.	Creating Small Business Protection Act
2196	SB934	S	215	1530140	2025-03-28	21	11	2	not-selected	administrative-licensing	Sale of low-proof spirit products.	Relating to low-proof spirit alcohol products
