bill	overridden	rolls	chambers	roll_call_id	chamber	seq	date	yea	nay	title	disposition	reason
HB1	yes	4	H	1643548	house	132	2026-02-24	19	44	AN ACT implementing the federal education opportunity program in Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB1	yes	4	H	1643549	house	133	2026-02-24	19	30	AN ACT implementing the federal education opportunity program in Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB1	yes	4	H	1643550	house	134	2026-02-24	79	17	AN ACT implementing the federal education opportunity program in Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB1	yes	4	H	1663923	house	255	2026-03-16	77	14	AN ACT implementing the federal education opportunity program in Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB10	yes	5	HS	1637579	house	114	2026-02-18	78	18	AN ACT relating to executive branch operations and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB10	yes	5	HS	1671537	senate	4023	2026-03-26	32	6	AN ACT relating to executive branch operations and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB10	yes	5	HS	1675585	house	442	2026-04-01	72	17	AN ACT relating to executive branch operations and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB10	yes	5	HS	1682834	house	456	2026-04-14	79	19	AN ACT relating to executive branch operations and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB10	yes	5	HS	1682835	senate	4162	2026-04-14	32	6	AN ACT relating to executive branch operations and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB139	yes	4	HS	1671523	senate	4025	2026-03-26	31	6	AN ACT relating to elections and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB139	yes	4	HS	1674559	house	365	2026-03-31	76	17	AN ACT relating to elections and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB139	yes	4	HS	1682893	house	459	2026-04-14	80	20	AN ACT relating to elections and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB139	yes	4	HS	1682894	senate	4165	2026-04-14	32	6	AN ACT relating to elections and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB142	yes	2	HS	1651165	house	184	2026-03-03	78	16	AN ACT relating to depredating wildlife and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB142	yes	2	HS	1682892	senate	4166	2026-04-14	30	6	AN ACT relating to depredating wildlife and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB189	no	1	S	1669300	senate	3980	2026-03-24	31	6	AN ACT relating to pedestrians.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB2	yes	3	HS	1648310	house	170	2026-02-27	77	21	AN ACT relating to Medicaid, making an appropriation therefor, and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB2	yes	3	HS	1682872	house	455	2026-04-14	80	18	AN ACT relating to Medicaid, making an appropriation therefor, and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB2	yes	3	HS	1682873	senate	4161	2026-04-14	32	6	AN ACT relating to Medicaid, making an appropriation therefor, and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB257	no	1	S	1675525	senate	4127	2026-04-01	30	6	AN ACT relating to the education assessment and accountability system.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB312	yes	4	HS	1625355	house	22	2026-01-23	73	17	AN ACT relating to concealed firearms and deadly weapons.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB312	yes	4	HS	1667114	senate	3966	2026-03-20	30	7	AN ACT relating to concealed firearms and deadly weapons.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB312	yes	4	HS	1682936	house	461	2026-04-14	81	18	AN ACT relating to concealed firearms and deadly weapons.	imported	selected for batch-01 and imported
HB312	yes	4	HS	1682937	senate	4167	2026-04-14	28	9	AN ACT relating to concealed firearms and deadly weapons.	imported	selected for batch-01 and imported
HB314	yes	3	HS	1646851	senate	3859	2026-02-26	32	6	AN ACT relating to the Kentucky Communications Network Authority and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB314	yes	3	HS	1657304	house	214	2026-03-09	78	19	AN ACT relating to the Kentucky Communications Network Authority and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB314	yes	3	HS	1658688	senate	3900	2026-03-10	32	6	AN ACT relating to the Kentucky Communications Network Authority and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB355	yes	2	HS	1682849	house	462	2026-04-14	79	15	AN ACT relating to real property appraisers.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB355	yes	2	HS	1682850	senate	4168	2026-04-14	30	6	AN ACT relating to real property appraisers.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB379	yes	2	HS	1682931	house	463	2026-04-14	80	17	AN ACT relating to postsecondary education.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB379	yes	2	HS	1682932	senate	4169	2026-04-14	32	6	AN ACT relating to postsecondary education.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB387	yes	2	HS	1682889	house	464	2026-04-14	83	16	AN ACT relating to veterinarians and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB387	yes	2	HS	1682890	senate	4170	2026-04-14	32	6	AN ACT relating to veterinarians and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB398	no	2	HS	1625340	house	46	2026-02-02	78	15	AN ACT relating to decommissioning costs for electric generating units.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB398	no	2	HS	1671561	senate	4026	2026-03-26	30	6	AN ACT relating to decommissioning costs for electric generating units.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB490	yes	5	HS	1636247	house	103	2026-02-17	72	21	AN ACT relating to employment at public postsecondary education institutions and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB490	yes	5	HS	1671910	senate	4031	2026-03-27	30	7	AN ACT relating to employment at public postsecondary education institutions and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB490	yes	5	HS	1675574	house	443	2026-04-01	75	18	AN ACT relating to employment at public postsecondary education institutions and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB490	yes	5	HS	1682824	house	465	2026-04-14	80	19	AN ACT relating to employment at public postsecondary education institutions and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB490	yes	5	HS	1682825	senate	4171	2026-04-14	32	6	AN ACT relating to employment at public postsecondary education institutions and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1646998	house	155	2026-02-26	20	27	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1646999	house	156	2026-02-26	20	14	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1647000	house	157	2026-02-26	19	32	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1647001	house	158	2026-02-26	21	12	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1647002	house	159	2026-02-26	19	15	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1647003	house	160	2026-02-26	20	21	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1647004	house	161	2026-02-26	81	18	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1675520	house	425	2026-04-01	74	18	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1675521	house	426	2026-04-01	73	21	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1682839	house	466	2026-04-14	74	19	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB500	yes	11	HS	1682840	senate	4177	2026-04-14	32	6	AN ACT relating to appropriations measures providing funding and establishing conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB501	yes	2	HS	1682836	house	468	2026-04-14	81	17	AN ACT relating to appropriations providing financing and conditions for the operations, maintenance, support, and functioning of the Transportation Cabinet of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB501	yes	2	HS	1682837	senate	4178	2026-04-14	32	6	AN ACT relating to appropriations providing financing and conditions for the operations, maintenance, support, and functioning of the Transportation Cabinet of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB503	yes	5	HS	1651890	house	179	2026-03-03	20	23	AN ACT making appropriations for the operations, maintenance, and support of the Legislative Branch of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB503	yes	5	HS	1651891	house	180	2026-03-03	75	20	AN ACT making appropriations for the operations, maintenance, and support of the Legislative Branch of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB503	yes	5	HS	1675552	house	424	2026-04-01	79	15	AN ACT making appropriations for the operations, maintenance, and support of the Legislative Branch of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB503	yes	5	HS	1682863	house	469	2026-04-14	71	19	AN ACT making appropriations for the operations, maintenance, and support of the Legislative Branch of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB503	yes	5	HS	1682864	senate	4179	2026-04-14	32	6	AN ACT making appropriations for the operations, maintenance, and support of the Legislative Branch of the Commonwealth of Kentucky.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB504	yes	3	HS	1676123	house	431	2026-04-01	75	18	AN ACT making appropriations for the operations, maintenance, support, and functioning of the Judicial Branch of the government of the Commonwealth of Kentucky and its various officers, boards, commissions, subdivisions, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB504	yes	3	HS	1682874	house	483	2026-04-14	76	16	AN ACT making appropriations for the operations, maintenance, support, and functioning of the Judicial Branch of the government of the Commonwealth of Kentucky and its various officers, boards, commissions, subdivisions, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB504	yes	3	HS	1682875	senate	4184	2026-04-14	27	6	AN ACT making appropriations for the operations, maintenance, support, and functioning of the Judicial Branch of the government of the Commonwealth of Kentucky and its various officers, boards, commissions, subdivisions, and other state-supported activities.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB58	no	1	H	1674521	house	361	2026-03-31	70	19	AN ACT relating to privacy protection.	imported	selected for batch-01 and imported
HB607	yes	3	HS	1664873	house	272	2026-03-17	76	14	AN ACT relating to consolidated local governments.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB607	yes	3	HS	1682845	house	470	2026-04-14	77	18	AN ACT relating to consolidated local governments.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB607	yes	3	HS	1682846	senate	4172	2026-04-14	32	6	AN ACT relating to consolidated local governments.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB619	yes	2	HS	1682865	house	471	2026-04-14	80	15	AN ACT relating to public postsecondary education.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB619	yes	2	HS	1682866	senate	4173	2026-04-14	32	6	AN ACT relating to public postsecondary education.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB627	no	2	HS	1671862	senate	4034	2026-03-27	24	8	AN ACT relating to insurance.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB627	no	2	HS	1674574	house	404	2026-03-31	75	14	AN ACT relating to insurance.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB652	yes	2	HS	1682843	house	472	2026-04-14	81	17	AN ACT relating to critical facility mapping and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB652	yes	2	HS	1682844	senate	4174	2026-04-14	32	6	AN ACT relating to critical facility mapping and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB677	no	1	H	1675554	house	445	2026-04-01	61	28	AN ACT relating to energy production and byproduct management.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB7	no	1	H	1626655	house	70	2026-02-09	78	15	AN ACT relating to school bus safety.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB757	yes	3	H	1660797	house	234	2026-03-11	69	18	AN ACT relating to revenue measures and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
