bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB119	B	house	2022-02-10	1140436	65	18	4	passage	yes	dropped: no research area covers alcohol sales	Motion to Read a Third Time and Pass Roll Call 124	Alcoholic beverage retailers, authorize drive-thru and walk-up service to purchase alcoholic beverages for off-premises consumption
HB119	B	house	2022-04-06	1184519	46	34	4	concurrence	yes	dropped: no research area covers alcohol sales	Isbell motion to Concur In and Adopt Roll Call 954	Alcoholic beverage retailers, authorize drive-thru and walk-up service to purchase alcoholic beverages for off-premises consumption
HB176	B	house	2022-03-29	1178789	75	19	4	passage	yes	dropped: no research area covers alcohol sales	Motion to Read a Third Time and Pass Roll Call 759	Alcoholic beverages, 18 to 20 year olds authorized to serve alcoholic beverages as employees, Secs. 28-1-5, 28-3A-25 am'd.
HB194	B	house	2022-03-10	1167692	72	28	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 585	Elections, prohibits state and local election officials and their employees from soliciting, accepting, using, or disposing of certain donations from 
HB194	B	senate	2022-04-07	1185160	25	7	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 1060	Elections, prohibits state and local election officials and their employees from soliciting, accepting, using, or disposing of certain donations from 
HB2	B	house	2021-09-29	1109545	77	23	2	passage	NO	dropped at filter 0: the printed roll call number is not in this bill's own history (a roll from another session, see ../legiscan-al-1756/CODE-FINDINGS.md)	Motion to Read a Third Time and Pass Roll Call 11	Crimes and offenses, assault against a first responder, created, riot and inciting to riot, further provided, aggravated riot, and unlawful traffic in
HB2	B	senate	2021-10-01	1109546	24	6	2	passage	NO	dropped at filter 0: the printed roll call number is not in this bill's own history (a roll from another session, see ../legiscan-al-1756/CODE-FINDINGS.md)	Motion to Read a Third Time and Pass Roll Call 19	Crimes and offenses, assault against a first responder, created, riot and inciting to riot, further provided, aggravated riot, and unlawful traffic in
HB2	B	house	2022-02-22	1150547	75	27	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 282	Crimes and offenses, assault against a first responder, created, riot and inciting to riot, further provided, aggravated riot, and unlawful traffic in
HB230	B	house	2022-03-29	1178746	78	21	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 747	Correction Dept., female inmates, prohibited practices regarding treatment of pregnant female inmates or female inmates in postpartum period
HB239	B	house	2022-03-17	1171971	79	21	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 661	Elections, prohibiting poll watchers from assisting an individual with voting, Secs. 11-46-51, 17-9-13 am'd.
HB272	B	house	2022-02-22	1150355	65	37	4	passage	yes	superseded: a later kept floor vote in this chamber is imported instead	Motion to Read a Third Time and Pass Roll Call 277	Firearms, certain restrictions on carrying in motor vehicle, Local Government Pistol Permit Revenue Loss Fund, created, penalties, provided, Secs. 13A
HB272	B	senate	2022-03-03	1161521	23	6	4	passage	yes	superseded: a later kept floor vote in this chamber is imported instead	Motion to Read a Third Time and Pass Roll Call 480	Firearms, certain restrictions on carrying in motor vehicle, Local Government Pistol Permit Revenue Loss Fund, created, penalties, provided, Secs. 13A
HB272	B	house	2022-03-10	1167430	70	29	4	concurrence	yes	batch-01	Stringer motion to Concur In and Adopt Roll Call 577	Firearms, certain restrictions on carrying in motor vehicle, Local Government Pistol Permit Revenue Loss Fund, created, penalties, provided, Secs. 13A
HB272	B	senate	2022-03-10	1167429	24	6	4	concurrence	yes	batch-01	Reed motion to Concur In and Adopt Roll Call 555	Firearms, certain restrictions on carrying in motor vehicle, Local Government Pistol Permit Revenue Loss Fund, created, penalties, provided, Secs. 13A
HB312	B	house	2022-03-17	1171782	65	32	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 653	Education and training, divisive concepts, prohibits teaching of the concepts under certain circumstances, allows teaching of the concepts in public i
HB322	B	house	2022-02-22	1150933	74	24	4	passage	yes	superseded: a later kept floor vote in this chamber is imported instead	Motion to Read a Third Time and Pass Roll Call 285	Public schools, restrooms or changing areas, required to be used based on individual's biological sex, kindergarden to fifth grade classroom instructi
HB322	B	house	2022-04-07	1185548	70	26	4	concurrence	yes	batch-01	Stadthagen motion to Concur In and Adopt Roll Call 978	Public schools, restrooms or changing areas, required to be used based on individual's biological sex, kindergarden to fifth grade classroom instructi
HB337	B	house	2022-03-31	1181465	72	25	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 841	Crimes and offenses, to revise the criminal penalties for violations of fleeing or attempting to elude law enforcement, Sec. 13A-10-52 am'd.
HB414	B	house	2022-04-07	1185303	74	24	4	concurrence	yes	dropped: narrow board-certification change, no research area	Oliver motion to Concur In and Adopt Roll Call 970	Boards and commissions, state 911 Board, certification of public safety telecommunications, duties of telecommicators further provided, reasonable alt
HB52	B	house	2022-02-16	1146848	71	28	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 221	Criminal procedure, probation revocation, judge auhtorized to use discretion in the length of sentence a defendant must serve if revoked
HB63	B	house	2022-03-17	1172297	73	28	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 657	Elections, prefilling of any field on voter registration application or absentee ballot application, prohibited, criminal penalties for violations imp
HB95	B	house	2022-02-15	1145219	63	35	4	passage	yes	superseded: a later kept floor vote in this chamber is imported instead	Motion to Read a Third Time and Pass Roll Call 166	Court-imposed fines, Dept. of Corrections, inmates, 180-day grace period provided for payment of fines upon release from physical custody
HB95	B	house	2022-04-07	1185330	77	20	4	concurrence	yes	batch-01	Gray motion to Concur In and Adopt Roll Call 968	Court-imposed fines, Dept. of Corrections, inmates, 180-day grace period provided for payment of fines upon release from physical custody
SB101	B	senate	2022-04-06	1184765	11	15	1	passage	yes	dropped: professional scope of practice, no research area	Motion to Read a Third Time and Pass Roll Call 1034	Podiatry, scope of practice expanded to include foot and ankle, Sec. 34-24-230 am'd.
SB120	B	senate	2022-03-10	1167361	17	12	2	passage	yes	dropped: professional scope of practice, no research area	Motion to Read a Third Time and Pass Roll Call 539	Optometrists, practice of optometry further provided, Board of Optometry to regulate, to issue advisory opinions and declaratory rulings, Secs. 20-2-2
SB158	B	senate	2022-03-30	1180303	18	8	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 809	Lead reduction, Alabama Lead Reduction Act, lead abatement and further regulation of lead hazard reductions, Secs. 22-37A-2 to 22-37A-7, inclusive, am
SB168	B	senate	2022-02-10	1140071	19	5	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 201	Controlled substances, drug paraphernalia, exception for items used to test for the presence of fentanyl drugs, Sec. 13A-12-260 am'd.
