bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB168	B	house	2019-04-04	836132	63	26	4	passage		dropped: no research area covers alcohol licensing	Motion to Read a Third Time and Pass	Alcoholic beverages, Sunday sales, wet counties and wet municipalities, authorized to permit and regulate by ordinance or subject to referendum, Sec. 
HB209	B	house	2019-05-31	875913	55	41	4	concurrence		batch-01	Pettus motion to Concur In and Adopt	Education, school resource officers, qualifications further provided for, Sec. 16-1-44.1 am'd.
HB212	B	house	2019-04-11	841881	61	24	4	passage		batch-01	Motion to Read a Third Time and Pass	Motor vehicles, right side driving required on interstate highways under certain conditions, exceptions, subject to criminal penalties, Anti-Road Rage
HB233	B	house	2019-04-23	850156	70	26	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Voter registration, procedures to maintain voter registration database revised, Sec. 17-4-30 am'd.
HB241	B	house	2019-04-23	849369	72	19	4	passage		dropped: narrow professional-board fees, no research area	Motion to Read a Third Time and Pass	Landscape Architects, Board of Examiners of, violations by licensees, maximum fine increased to $2,500 per violation, license application fee increase
HB361	B	house	2019-05-08	861380	74	22	4	passage		batch-01	Motion to Read a Third Time and Pass	Fantasy contests, regulation of, consumer protection measures by operators required, regulation, registration of operators with the Atty. Gen's Office
HB361	B	senate	2019-05-28	873644	22	8	4	passage		batch-01	Motion to Read a Third Time and Pass	Fantasy contests, regulation of, consumer protection measures by operators required, regulation, registration of operators with the Atty. Gen's Office
HB361	B	senate	2019-05-28	873642	22	8	4	passage		superseded: a later kept floor vote in this chamber is imported instead	Motion to Read a Third Time and Pass	Fantasy contests, regulation of, consumer protection measures by operators required, regulation, registration of operators with the Atty. Gen's Office
HB380	B	house	2019-05-09	862047	73	27	4	passage		batch-01	Motion to Read a Third Time and Pass	Pardons and Paroles Board, Governor, appointment of bd. members, nominations, appointment of Director of Pardons and Paroles, responsibilities, criter
HB423	B	senate	2019-05-31	875886	13	18	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Public schools, require a child successfully complete kindergarten before being admitted to the first grade, Sec. 16-28-4 am'd.
HB491	B	house	2019-05-21	868739	66	18	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Abortion, physicians, duty of care owed to babies born alive after faild abortion, criminal penalties, definitions further provided
HB498	B	house	2019-05-22	869292	62	27	4	passage		superseded: a later kept floor vote in this chamber is imported instead	Motion to Read a Third Time and Pass	Colleges and universities, require public colleges and universities to enact policies protecting freedom of speech on campus
HB498	B	house	2019-05-30	875179	73	26	4	concurrence		batch-01	Fridy motion to Concur In and Adopt	Colleges and universities, require public colleges and universities to enact policies protecting freedom of speech on campus
SB119	B	senate	2019-03-21	826324	23	7	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Common Core Curriculum Standards, terminated, prior courses of study to be implemented
SB128	B	senate	2019-05-07	861143	23	7	4	passage		batch-01	Motion to Read a Third Time and Pass	Elections, revealing the contents of another voter's ballot prohibited, violation a Class B misdemeanor, Sec. 17-9-50.1 added
SB147	B	senate	2019-04-16	845128	24	7	4	passage		dropped: narrow retirement-plan option, no research area	Motion to Read a Third Time and Pass	Retirement, benefits for local employers participating in ERS, retirement benefits given to Tier I plan members authorized for Tier II plan members, S
SB193	B	house	2019-05-14	863631	74	26	4	passage		batch-01	Motion to Read a Third Time and Pass	Unemployment benefits, maximum amount paid to an individual revised contingent on the state's average unemployment rate, maximum weekly benefits revis
SB22	B	senate	2019-03-21	826377	23	6	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Taxation, check-off contribution to provide an income tax refund check-off for a contribution to We Build the Wall, Incorporated., Sec. 40-18-140 am'd
SB220	B	senate	2019-04-25	852080	21	12	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Alabama Lottery estab., distrib. of proceeds provided, constitutional amendment
SB222	B	senate	2019-04-04	835992	19	10	2	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	County Superintendent of Education, required to be appointed unless provided otherwise by constitution
SB236	B	senate	2019-05-09	861734	17	6	4	passage		batch-01	Motion to Read a Third Time and Pass	Medical Marijuana, Medical Cannabis Study Commission, established, membership and duties provided, defense against prosecution for marijuana possessio
SB347	B	house	2019-05-29	874317	63	23	4	passage		dropped: narrow toll-collection change, no research area	Motion to Read a Third Time and Pass	Toll Roads and Bridges, notice to pay a toll, further provided, failure to pay toll citation, further provided, non-renewal of vehicle registration, p
SB397	B	house	2019-05-31	875747	78	21	4	passage		batch-01	Motion to Read a Third Time and Pass	Board of Education, State, renamed the Alabama Commission on Elementary and Secondary Education, members appointed by Governor, State Superintendent o
SB421	B	senate	2019-05-29	874192	14	4	1	passage		deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass	Macon Co., bingo, may be played on electronic machines authorized by the National Indian Gaming Commission, const. amend.
SB66	B	senate	2019-04-04	835767	25	8	4	passage		dropped: no research area covers hunting rules	Motion to Read a Third Time and Pass	Hunting, whitetail deer or feral swine, hunting by means of bait under certain conditions with baiting privilege license, Sec. 9-11-244 am'd.
SB69	B	house	2019-05-23	870365	67	26	4	passage		batch-01	Motion to Read a Third Time and Pass	Marriage license, recording by judge of probate, transmission to Vital Statistics office, Secs. 30-1-9, 30-1-10, 30-1-11, 30-1-13, 30-1-14 repealed; S
