bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB103	B	house	2021-03-02	1019613	75	22	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 238	Emergency Management Act of 1955, states of emergency, business and religious entities authorized to operate under certain conditions
HB116	B	senate	2021-04-22	1060108	21	6	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 1143	Elections, Sec. of State authorized to conduct a one-time post-election audit of vote count
HB123	B	senate	2021-04-20	1057454	18	10	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 1081	Voter registration lists, prosecutors, judges, and law enforcement officers, a registered voter or spouse authorized to have personal info omitted, Se
HB15	B	house	2021-02-09	1001962	68	19	4	passage	yes	dropped: narrow budget carve-out, no research area	Motion to Read a Third Time and Pass Roll Call 40	Taxation, to update the disbursement of certain license taxes and registration fees, Sec. 40-12-270 am'd.
HB154	B	senate	2021-04-22	1060614	17	12	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 1146	Campaign finance reports, electronic filing with Secretary of State required, revise report deadline, Secs. 17-5-4, 17-5-5, 17-5-8, 17-5-9, 17-5-10, 1
HB184	B	house	2021-03-16	1029612	73	27	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 465	Health, St. Bd. of, immunization registry, reports re immunization vaccines, review by providers, Sec. 22-11B-2 am'd.
HB202	B	house	2021-04-29	1066323	71	21	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 1069	Grand juries, remove grand jury witnesses from certain provisions limiting disclosure of testimony, court reporter or stenographer required to record 
HB238	B	house	2021-04-20	1057114	42	45	1	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 903	Watercraft, operation of, boater safety certification requirements, further provided, Secs. 32-5A-191.3, 33-5-51, 33-5-52, 33-5-72 am'd.
HB239	B	house	2021-04-15	1054860	76	24	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 889	Crimes and offenses, to revise the criminal penalties for violations of fleeing or attempting to elude law enforcement, Sec. 13A-10-52 am'd.
HB24	B	house	2021-02-09	999235	63	33	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 33	Sentencing standards, to provide for resentencing of certain individuals convicted of nonviolent offenses, procedure for resentencing, Sec. 12-25-34.3
HB246	B	house	2021-03-11	1026862	73	25	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 387	Education, grades K-12, yoga, authorize local boards of education to offer to students
HB246	B	senate	2021-05-06	1074303	23	7	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 1408	Education, grades K-12, yoga, authorize local boards of education to offer to students
HB273	B	house	2021-05-06	1073639	58	25	4	concurrence	yes	batch-01	Drummond motion to Concur In and Adopt Roll Call 1125	Nicotine, age raised to buy, possess, or use nicotine products to 21, restrictions on marketing of certain nicotine products, Secs. 28-11-17.1, 28-11-
HB285	B	house	2021-03-18	1031588	74	25	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 496	Elections, electronic voting machines, curb side voting, operation of voting machines prohibited except on the inside of buildings designated as votin
HB332	B	house	2021-04-07	1047819	55	18	4	passage	yes	dropped: narrow window-tint exemption, no research area	Motion to Read a Third Time and Pass Roll Call 690	Motor vehicles, law enforcement officers, dark tint on personal vehicles authorized, Sec. 32-5C-2 am'd.
HB385	B	house	2021-03-02	1019608	69	30	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 243	Education, public K-12 schools, sex education, revising the focus of content, course materials and instructions provided, Sec. 16-40A-2 am'd.
HB385	B	senate	2021-04-20	1057884	18	6	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 1053	Education, public K-12 schools, sex education, revising the focus of content, course materials and instructions provided, Sec. 16-40A-2 am'd.
HB388	B	house	2021-04-06	1046381	75	24	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 653	Elections, requires implementation date of any legislation affecting conduct of general election to be at least six months before general election, co
HB391	B	house	2021-03-18	1031172	74	19	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 480	Schools, public K-12, athletic events allowing competition by one biological gender against another prohibited unless the event specifically includes 
HB404	B	house	2021-03-09	1024976	63	31	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 326	Student athletes, may earn compensation for use of name, image, or likeness, conditions established, certain postsecondary educational institutions ma
HB445	B	house	2021-03-18	1031548	74	25	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 490	Crimes and offenses, assault against a first responder, created, riot and inciting to riot, further provided, aggravated riot, and unlawful traffic in
HB555	B	house	2021-04-20	1057862	68	22	4	passage	yes	dropped: narrow, no research area	Motion to Read a Third Time and Pass Roll Call 910	Recreational vehicle parks, duty of law enforcement to remove illegal guests upon operator's request further provided for, Sec. 35-15-30 am'd.
HB560	B	house	2021-04-20	1057962	67	20	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 908	Alcoholic beverage retailers, authorize drive-thru and walk-up service to purchase alcoholic beverages for off premises consumption
