session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	disposition	reason	title
2254	HB4004	H	706	1663193	2026-03-14	89	6	screened	final-roll-not-divided	Creating the Recharge West Virginia Program
2254	HB4004	S	704	1663190	2026-03-14	33	1	screened	final-roll-not-divided	Creating the Recharge West Virginia Program
2254	HB4005	H	373	1658363	2026-03-10	92	1	screened	final-roll-not-divided	Skills to work
2254	HB4005	S	368	1656964	2026-03-09	27	7	batch-01	imported	Skills to work
2254	HB4007	H	668	1663197	2026-03-14	92	3	screened	final-roll-not-divided	Relating to industrial access roads
2254	HB4007	S	522	1662341	2026-03-13	33	0	screened	final-roll-not-divided	Relating to industrial access roads
2254	HB4008	H	11	1616532	2026-01-23	84	9	screened	final-roll-not-divided	Relating to Business Ready Sites Program
2254	HB4008	S	477	1661422	2026-03-12	33	1	screened	final-roll-not-divided	Relating to Business Ready Sites Program
2254	HB4009	H	701	1663200	2026-03-14	95	2	screened	final-roll-not-divided	Relating to the creation of the Portable Benefit Account Act
2254	HB4009	S	708	1663201	2026-03-14	34	0	screened	final-roll-not-divided	Relating to the creation of the Portable Benefit Account Act
2254	HB4022	H	349	1654945	2026-03-05	92	0	screened	final-roll-not-divided	CPS Allocation
2254	HB4022	S	362	1656143	2026-03-06	34	0	screened	final-roll-not-divided	CPS Allocation
2254	HB4025	H	670	1663279	2026-03-14	62	34	not-selected	filter 5: Labor GAP, same as HB 2013	Exempting certain employees from the classified civil service system
2254	HB4025	S	527	1662321	2026-03-13	24	9	not-selected	filter 5: Labor GAP, same as HB 2013	Exempting certain employees from the classified civil service system
2254	HB4028	H	374	1658560	2026-03-10	93	0	screened	final-roll-not-divided	Relating to sales tax on construction materials
2254	HB4028	S	369	1657126	2026-03-09	34	0	screened	final-roll-not-divided	Relating to sales tax on construction materials
2254	HB4053	H	496	1662312	2026-03-13	96	0	screened	final-roll-not-divided	To establish the blue envelope program.
2254	HB4053	S	392	1658071	2026-03-10	34	0	screened	final-roll-not-divided	To establish the blue envelope program.
2254	HB4087	H	158	1640893	2026-02-23	86	8	screened	final-roll-not-divided	To create a West Virginia-Ireland Education Alliance.
2254	HB4087	S	528	1662617	2026-03-13	33	1	screened	final-roll-not-divided	To create a West Virginia-Ireland Education Alliance.
2254	HB4088	H	119	1636540	2026-02-18	92	0	screened	final-roll-not-divided	Relating to certified public accountants
2254	HB4088	S	202	1640881	2026-02-23	33	0	screened	final-roll-not-divided	Relating to certified public accountants
2254	HB4089	H	73	1629686	2026-02-11	97	0	screened	final-roll-not-divided	Preservation of hair during chemotherapy. Also known as the “Jessica Huffman Bill”
2254	HB4089	S	393	1658171	2026-03-10	33	1	screened	final-roll-not-divided	Preservation of hair during chemotherapy. Also known as the “Jessica Huffman Bill”
2254	HB4106	H	688	1663098	2026-03-14	85	8	screened	final-roll-not-divided;printed-roll-number-shared	Allowing constitutional carry for 18- to 20-year-olds
2254	HB4106	S	701	1663099	2026-03-14	31	3	screened	final-roll-not-divided	Allowing constitutional carry for 18- to 20-year-olds
2254	HB4126	H	376	1658497	2026-03-10	93	0	screened	final-roll-not-divided	To modify the funding distribution to the state park endowment fund and the State Parks Operational Fund
2254	HB4126	S	371	1657113	2026-03-09	34	0	screened	final-roll-not-divided	To modify the funding distribution to the state park endowment fund and the State Parks Operational Fund
2254	HB4138	H	597	1662839	2026-03-14	96	0	screened	final-roll-not-divided	Relating to persons convicted of a crime
2254	HB4138	S	687	1663241	2026-03-14	33	0	screened	final-roll-not-divided	Relating to persons convicted of a crime
2254	HB4169	H	23	1618186	2026-01-28	95	0	screened	final-roll-not-divided	Relating to mental health examination requirements.
2254	HB4169	S	455	1660040	2026-03-11	34	0	screened	final-roll-not-divided	Relating to mental health examination requirements.
2254	HB4176	H	283	1652274	2026-03-04	91	0	screened	final-roll-not-divided	To allow youth and handicapped hunters to harvest a buck deer or doe during youth/handicapped special hunts
2254	HB4176	S	531	1662310	2026-03-13	34	0	screened	final-roll-not-divided	To allow youth and handicapped hunters to harvest a buck deer or doe during youth/handicapped special hunts
2254	HB4191	H	284	1652652	2026-03-04	89	4	screened	final-roll-not-divided	Relating to providing child care generally
2254	HB4191	S	532	1662434	2026-03-13	31	3	screened	final-roll-not-divided	Relating to providing child care generally
2254	HB4196	H	132	1640048	2026-02-20	92	4	screened	final-roll-not-divided	To offer long-acting reversible contraception to patients receiving methadone and suboxone at the treatment facility for
2254	HB4196	S	152	1638110	2026-02-19	32	1	screened	final-roll-not-divided	To offer long-acting reversible contraception to patients receiving methadone and suboxone at the treatment facility for
2254	HB4215	H	211	1647696	2026-02-27	93	3	screened	final-roll-not-divided	Department of Health Rules Bundle
2254	HB4215	S	233	1644294	2026-02-25	34	0	screened	final-roll-not-divided	Department of Health Rules Bundle
2254	HB4245	H	234	1649132	2026-03-02	94	1	screened	final-roll-not-divided	Authorizing Certain Agencies of the Department of Revenue to Promulgate Legislative Rules
2254	HB4245	S	706	1663303	2026-03-14	33	1	screened	final-roll-not-divided	Authorizing Certain Agencies of the Department of Revenue to Promulgate Legislative Rules
2254	HB4265	H	689	1663257	2026-03-14	94	2	screened	final-roll-not-divided	Relating to authorizing the Department of Agriculture to promulgate a legislative rule relating to registration forms an
2254	HB4265	S	456	1660229	2026-03-11	34	0	screened	final-roll-not-divided	Relating to authorizing the Department of Agriculture to promulgate a legislative rule relating to registration forms an
2254	HB4335	H	133	1640007	2026-02-20	96	0	screened	final-roll-not-divided	Relating to Medicaid providers
2254	HB4335	S	153	1638262	2026-02-19	33	0	screened	final-roll-not-divided	Relating to Medicaid providers
2254	HB4345	H	677	1662950	2026-03-14	97	0	screened	final-roll-not-divided	Relating to the preservation of missing persons records and evidence
2254	HB4345	S	534	1662392	2026-03-13	34	0	screened	final-roll-not-divided	Relating to the preservation of missing persons records and evidence
2254	HB4354	H	497	1662508	2026-03-13	97	0	screened	final-roll-not-divided	Relating to necessity allowance
2254	HB4354	S	395	1658337	2026-03-10	34	0	screened	final-roll-not-divided	Relating to necessity allowance
2254	HB4364	H	593	1662870	2026-03-14	97	0	screened	final-roll-not-divided	Relating to concurrent juvenile jurisdiction on military installations
2254	HB4364	S	684	1663114	2026-03-14	33	0	screened	final-roll-not-divided	Relating to concurrent juvenile jurisdiction on military installations
2254	HB4366	H	630	1662969	2026-03-14	97	0	screened	final-roll-not-divided	Relating to military interpersonal violence
2254	HB4366	S	459	1659886	2026-03-11	34	0	screened	final-roll-not-divided	Relating to military interpersonal violence
2254	HB4390	H	201	1646127	2026-02-26	93	0	screened	final-roll-not-divided	Relating to the temporary payment to a kinship parent of a subsidy equal to that of a foster parent
2254	HB4390	S	460	1659754	2026-03-11	34	0	screened	final-roll-not-divided	Relating to the temporary payment to a kinship parent of a subsidy equal to that of a foster parent
2254	HB4395	H	498	1662244	2026-03-13	96	0	screened	final-roll-not-divided	Relating to investigations of allegations of child safety violations for school personnel.
2254	HB4395	S	396	1658085	2026-03-10	34	0	screened	final-roll-not-divided	Relating to investigations of allegations of child safety violations for school personnel.
2254	HB4404	H	160	1640929	2026-02-23	94	0	screened	final-roll-not-divided	Increase the allowance for volunteer and part-volunteer fire companies and allowing fire departments to make an expendit
2254	HB4404	S	478	1661537	2026-03-12	34	0	screened	final-roll-not-divided	Increase the allowance for volunteer and part-volunteer fire companies and allowing fire departments to make an expendit
2254	HB4412	H	599	1662890	2026-03-14	96	0	screened	final-roll-not-divided	Require certain websites to utilize age verification methods to prevent minors from accessing content
2254	HB4412	S	685	1663174	2026-03-14	33	0	screened	final-roll-not-divided	Require certain websites to utilize age verification methods to prevent minors from accessing content
2254	HB4415	H	631	1662897	2026-03-14	97	0	screened	final-roll-not-divided	Creating crime of attempting to smuggle contraband into federal correctional institutions within the state
2254	HB4415	S	462	1660379	2026-03-11	34	0	screened	final-roll-not-divided	Creating crime of attempting to smuggle contraband into federal correctional institutions within the state
2254	HB4416	H	236	1648586	2026-03-02	92	3	screened	final-roll-not-divided	Classifying forestry equipment for levy purposes
2254	HB4416	S	463	1660205	2026-03-11	34	0	screened	final-roll-not-divided	Classifying forestry equipment for levy purposes
2254	HB4418	H	286	1652324	2026-03-04	93	1	screened	final-roll-not-divided	Creating “The Tax Efficiency Act of 2026”
