bill	bill_id	chamber	roll_call_id	date	tally	rolls_in_chamber	engrossed_texts	status	chapter	question_from_history	title	description	disposition	reason
H0003	1909082	house	1471419	2025-01-14	56-14	1	0	4	1		Amends existing law to update references to the current Internal Revenue Code.	TAXATION -- Amends existing law to update references to the current Internal Revenue Code.	candidate:unbatched	
H0003	1909082	senate	1472592	2025-01-21	32-3	1	0	4	1	Read third time in full -- PASSED 32-3-0	Amends existing law to update references to the current Internal Revenue Code.	TAXATION -- Amends existing law to update references to the current Internal Revenue Code.	out-of-gate:not-divided	
H0006	1910524	house	1534935	2025-04-02	58-8	2	1	4	296		Amends and adds to existing law to remove a provision regarding violations of the open meetings law by county officers, to authorize investigations and actions	CITY AND COUNTY OFFICERS -- Amends and adds to existing law to remove a provision regarding violations of the open meetings law by county officers, to authorize investigations and actions against city officers by the att	out-of-gate:not-divided	
H0006	1910524	senate	1531110	2025-03-31	28-5	1	1	4	296	Read third time as amended in the Senate -- PASSED 28-5-2	Amends and adds to existing law to remove a provision regarding violations of the open meetings law by county officers, to authorize investigations and actions	CITY AND COUNTY OFFICERS -- Amends and adds to existing law to remove a provision regarding violations of the open meetings law by county officers, to authorize investigations and actions against city officers by the att	out-of-gate:not-divided	
H0007	1910380	house	1472604	2025-01-21	54-14	1	0	4	7	Read Third Time in Full -- PASSED 54-14-2	Amends existing law to provide a penalty for possession of less than three ounces of marijuana.	UNIFORM CONTROLLED SUBSTANCES -- Amends existing law to provide a penalty for possession of less than three ounces of marijuana.	batched:batch-01	imported in batch-01
H0007	1910380	senate	1492015	2025-02-18	27-8	1	0	4	7	Read third time in full -- PASSED 27-8-0	Amends existing law to provide a penalty for possession of less than three ounces of marijuana.	UNIFORM CONTROLLED SUBSTANCES -- Amends existing law to provide a penalty for possession of less than three ounces of marijuana.	batched:batch-01	imported in batch-01
H0008	1915898	house	1477410	2025-01-30	67-0	1	0	4	20	Read Third Time in Full -- PASSED 67-0-3	Amends and repeals existing law to revise provisions regarding public utility regulation.	PUBLIC UTILITIES -- Amends and repeals existing law to revise provisions regarding public utility regulation.	out-of-gate:not-divided	
H0008	1915898	senate	1505416	2025-03-04	34-0	1	0	4	20	Read third time in full -- PASSED 34-0-1	Amends and repeals existing law to revise provisions regarding public utility regulation.	PUBLIC UTILITIES -- Amends and repeals existing law to revise provisions regarding public utility regulation.	out-of-gate:not-divided	
H0009	1918153	house	1508842	2025-03-07	69-0	1	1	4	151	Read third time in full as amended -- PASSED 69-0-1	Amends, repeals, and adds to existing law to revise the procedures for the conducting of contested cases.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends, repeals, and adds to existing law to revise the procedures for the conducting of contested cases.	out-of-gate:not-divided	
H0009	1918153	senate	1520183	2025-03-18	35-0	1	1	4	151	Read third time in full -- PASSED 35-0-0	Amends, repeals, and adds to existing law to revise the procedures for the conducting of contested cases.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends, repeals, and adds to existing law to revise the procedures for the conducting of contested cases.	out-of-gate:not-divided	
