bill	type	status	chamber	date	roll	journal	yea	nay	desc	title	disposition
HB1001	B	4	house	2025-02-20	1494687	238	66	28	House - Third reading	State budget.	dropped: filter 5, the budget carries at least five unrelated programmes - a two dollar a pack cigarette tax rise, repeal of guaranteed Medicaid access to mental health drugs, removal of the voucher income cap, a higher education governance overhaul including post-tenure review, and a 5 percent appropriation withholding - and contradicts itself inside single areas
HB1001	B	4	senate	2025-04-25	1557867	538	39	11	Senate - Rules Suspended. Conference Committee Report 1	State budget.	dropped: filter 5, the budget carries at least five unrelated programmes - a two dollar a pack cigarette tax rise, repeal of guaranteed Medicaid access to mental health drugs, removal of the voucher income cap, a higher education governance overhaul including post-tenure review, and a 5 percent appropriation withholding - and contradicts itself inside single areas
HB1001	B	4	house	2025-04-25	1557868	576	66	27	House - Rules Suspended. Conference Committee Report 1	State budget.	dropped: filter 5, the budget carries at least five unrelated programmes - a two dollar a pack cigarette tax rise, repeal of guaranteed Medicaid access to mental health drugs, removal of the voucher income cap, a higher education governance overhaul including post-tenure review, and a 5 percent appropriation withholding - and contradicts itself inside single areas
HB1002	B	4	senate	2025-04-15	1548875	420	31	18	Senate - Third reading	Various education matters.	dropped: filter 5, 218 sections, about 95 of them repeals, that cut state spending through mass repeal while letting schools charge families a new supplies and materials fee, and that remove a training mandate while adding two others
HB1002	B	4	house	2025-04-24	1557228	563	61	25	House - Rules Suspended. Conference Committee Report 1	Various education matters.	dropped: filter 5, 218 sections, about 95 of them repeals, that cut state spending through mass repeal while letting schools charge families a new supplies and materials fee, and that remove a training mandate while adding two others
HB1002	B	4	senate	2025-04-24	1557784	530	27	21	Senate - Rules Suspended. Conference Committee Report 1	Various education matters.	dropped: filter 5, 218 sections, about 95 of them repeals, that cut state spending through mass repeal while letting schools charge families a new supplies and materials fee, and that remove a training mandate while adding two others
HB1003	B	4	house	2025-02-18	1491974	201	66	32	House - Third reading	Health matters.	dropped: version trap, this House third reading sits at 0.70 similarity to the enrolled act across 339 differing runs; the 2025-04-24 conference report is in batch-07
HB1003	B	4	senate	2025-04-24	1556836	513	30	20	Senate - Rules Suspended. Conference Committee Report 1	Health matters.	batch-07
HB1003	B	4	house	2025-04-24	1556472	544	67	25	House - Rules Suspended. Conference Committee Report 1	Health matters.	batch-07
HB1004	B	4	house	2025-02-20	1494692	239	68	26	House - Third reading	Health care matters.	dropped: version trap, this House third reading predates the conference committee that rewrote the bill; the 2025-04-24 conference report is in batch-07
